serial_number,method_of_operation,license_type_code,county,premise_name,dba,premise_address,premise_city,certificate_number,license_expiration_date,latitude,longitude,status,error
1257248,RESTAURANT SERVING BEER CIDER & WINE ONLY,RW,NEW YORK,SOLO PIZZA INC,SOLO PIZZA,27 AVENUE B,NEW YORK,784148,2023-10-31T00:00:00.000,40.722365,-73.983177,success,
1273203,VESSEL SERVING LIQUOR BEER CIDER AND WINE,VL,NEW YORK,HORNBLOWER CRUISES AND EVENTS LLC,MANHATTAN ELITE,PIER 62 CHELSEA PIERS,NEW YORK,803625,2023-10-31T00:00:00.000,40.748378,-74.008445,success,
1320487,,AX,NEW YORK,581 R & V FOOD CORP,,581 W 207TH ST,NEW YORK,935179,2023-10-31T00:00:00.000,40.866943,-73.920716,success,
1337942,"RESTAURANT SERVING BEER, WINE, LIQUOR AND CIDER",OP,NEW YORK,HSE ENTERPRISES LLC,THE PARLOUR ROOM,70 W 36TH ST,NEW YORK,890693,2023-10-31T00:00:00.000,40.750744,-73.986072,success,
1330731,IMPORTER,IL,NEW YORK,TAT AMERICA LLC,HOUSE OF BURGUNDY WINES AND SPIRITS,318 W 53RD ST,NEW YORK,935461,2023-12-31T00:00:00.000,40.764497,-73.985531,success,
1228988,CATERING FACILITY SERVING LIQUOR WINE CIDER AND BEER,CT,NEW YORK,EVELYN HILL INC,,ELLIS ISLAND,NEW YORK,803816,2024-01-31T00:00:00.000,40.698831,-74.039753,success,
1334696,"CATERING ESTABLISHMENT SERVING WINE, LIQUOR, BEER AND CIDER",CT,NEW YORK,COMPASS GROUP USA INC,,30 ROCKEFELLER PLAZA,NEW YORK,802730,2024-01-31T00:00:00.000,40.758754,-73.978692,success,
1290550,RESTAURANT SERVING BEER CIDER AND WINE ONLY,RW,NEW YORK,OLLIES 111 LLC,OLLIE'S NOODLE SHOP & GRILLE,2705 BROADWAY,NEW YORK,788775,2024-02-29T00:00:00.000,40.799325,-73.96844,success,
1322091,WHOLESALE BEER,CO,NEW YORK,BEERTERNATIONAL LLC,,428-430 E 10TH ST,NEW YORK,929826,2024-02-29T00:00:00.000,40.725251,-73.976059,success,
1323957,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",OP,NEW YORK,FIVE SENSES KOREAN BARBECUE LLC,LOVE KOREAN BARBEQUE,319 5TH AVE,NEW YORK,803627,2024-02-29T00:00:00.000,40.747241,-73.98542,success,
1321481,"RESTAURANT SERVING LIQUOR, BEER, WINE AND CIDER",OP,NEW YORK,"BEST SICHUAN INC, THE",,47 W 39TH ST,NEW YORK,788645,2024-03-31T00:00:00.000,40.752236,-73.983809,success,
1337922,"BAR/TAVERN SERVING LIQUOR, BEER, WINE & CIDER",OP,NEW YORK,BAR CLARK LLC,THE RIVER,102 BAYARD ST,NEW YORK,802994,2024-03-31T00:00:00.000,40.716081,-73.999769,success,
1277153,RESTAURANT SERVING BEER CIDER AND WINE,RW,NEW YORK,GRACE 38 CAFE INC,,572 8TH AVE,NEW YORK,806574,2024-04-30T00:00:00.000,40.754828,-73.991532,success,
1276870,RESTAURANT SERVING BEER CIDER AND WINE,RW,NEW YORK,MS 111 FULTON LLC,MELT SHOP,111 FULTON ST,NEW YORK,780054,2024-05-31T00:00:00.000,40.709749,-74.006792,success,
1323944,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER PRODUCTS",OP,NEW YORK,INWOOD HOSPITALITY PARTNERS LLC,HUDSON CRAB & CUE,348 DYCKMAN ST,NEW YORK,780088,2024-05-31T00:00:00.000,40.869,-73.931527,success,
1305782,RESTAURANT SERVING BEER WINE & CIDER,RW,NEW YORK,TRIKAM NY 1190 6 LLC,DEEP INDIAN KITCHEN,1190 AVENUE OF THE AMERICAS,NEW YORK,792247,2024-06-30T00:00:00.000,40.757726,-73.981995,success,
1310839,GROCERY STORE SELLING BEER AND WINE PRODUCTS,AX,NEW YORK,EASTSIDE MARKET CORP,EASTSIDE MARKET,1463 YORK AVE,NEW YORK,847416,2024-06-30T00:00:00.000,40.770439,-73.951142,success,
1316201,"DRUG STORE SELLING BEER, CIDER, & WINE PRODUCTS",DX,NEW YORK,CVS ALBANY LLC,CVS/PHARMACY #11075,2833 BROADWAY,NEW YORK,845869,2024-06-30T00:00:00.000,40.803883,-73.966921,success,
1344019,"DRUG STORE SELLING BEER, WINE PRODUCT, AND CIDER",DX,NEW YORK,CVS ALBANY LLC,CVS/PHARMACY #11434,130 5TH AVENUE,NEW YORK,796585,2024-06-30T00:00:00.000,40.738596,-73.991744,success,
1344374,"DRUG STORE SELLING BEER, WINE PRODUCTS AND CIDER",DX,NEW YORK,CVS ALBANY LLC,CVS/PHARMACY #11408,38 WARREN ST,NEW YORK,906325,2024-06-30T00:00:00.000,40.714489,-74.008643,success,
1178680,"DRUG CHAIN, BEER/WINE PRODUCT, CIDER",DX,NEW YORK,DUANE READE INC,STORE 14282,1251 AVENUE OF THE AMERICAS,NEW YORK,809818,2025-09-30T00:00:00.000,40.759644,-73.980627,success,
1316946,EATING PLACE BEER SERVING BEER AND CIDER,EB,NEW YORK,YONISKI AMSTERDAM LLC,HOLY SCHNITZEL,654 AMSTERDAM AVE,NEW YORK,791593,2025-06-30T00:00:00.000,40.791407,-73.972311,success,
1220827,LIQUOR STORE SELLING WINE & LIQUOR,L,NEW YORK,GRACE WINE & SPIRITS INC,,610 10TH AVENUE,NEW YORK,847333,2024-07-31T00:00:00.000,40.760732,-73.994658,success,
1323209,"RESTAURANT SERVING BEER, WINE AND CIDER",RW,NEW YORK,39 AKURA SUSHI INC,,39 E 31ST ST,NEW YORK,795484,2024-08-31T00:00:00.000,40.745671,-73.983875,success,
1340449,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",OP,NEW YORK,SMALL PLATES INC,AHIMSA GARDEN,204 E 38TH ST,NEW YORK,891117,2024-08-31T00:00:00.000,40.748129,-73.976029,success,
1296130,"RESTAURANT SERVING BEER, WINE & CIDER",RW,NEW YORK,LOVE MAMAK CORP,MAMAK,174 2ND AVE,NEW YORK,795460,2024-09-30T00:00:00.000,40.730471,-73.986296,success,
1296877,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,OP,NEW YORK,HUDSON GASTROPUB LLC,THE WARREN,131 CHRISTOPHER ST,NEW YORK,809029,2024-09-30T00:00:00.000,40.733032,-74.006578,success,
1342456,"BAR/TAVERN SERVING BEER, WINE AND CIDER",TW,NEW YORK,KAHVEHANE LLC,MADAME BONTE,1834 2ND AVE,NEW YORK,906153,2024-09-30T00:00:00.000,40.783373,-73.94771,success,
1024070,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",OP,NEW YORK,WALTERS BAR INC,,389 8TH AVE,NEW YORK,797904,2024-11-30T00:00:00.000,40.749295,-73.995586,success,
1226540,OFF PREMISES BEER/WINE CIDER PRODUCTS,AX,NEW YORK,JAMAL A. ALHARBI,MINI CART CONVENIENCE STORE,159 E HOUSTON ST,NEW YORK,784194,2024-11-30T00:00:00.000,40.723066,-73.989079,success,
1344619,RESTAURANT SERVING WINE BEER AND CIDER,RW,NEW YORK,MALA HOUSE INC,,22 E 21ST ST,NEW YORK,844910,2024-11-30T00:00:00.000,40.739669,-73.989142,success,
1313463,GROCERY STORE SELLING BEER AND WINE PRODUCTS,AX,NEW YORK,MAHANT 979 INC,,979 1ST AVE,NEW YORK,849718,2024-12-31T00:00:00.000,40.756196,-73.964475,success,
1291352,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,AX,NEW YORK,STOP ONE FOOD MARKET INC,,748 10TH AVE,NEW YORK,784560,2025-01-31T00:00:00.000,40.765212,-73.99139,success,
1291338,"GROCERY STORE SELLING BEER, CIDER AND WINE PRODUCTS",AX,NEW YORK,A & C SUPERMAS INC,ASSOCIATED SUPERMARKET,2444 7TH AVE,NEW YORK,784845,2025-01-31T00:00:00.000,40.819817,-73.940419,success,
1280780,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,OP,NEW YORK,SERF TWO INC,BABBALUCCI'S,331 LENOX AVE,NEW YORK,804310,2025-05-31T00:00:00.000,40.808818,-73.944735,success,
1291672,EATING PLACE SERVING BEER & CIDER,EB,NEW YORK,636 LEXINGTON TACOS LLC,DOS TOROS,636 LEXINGTON AVE,NEW YORK,837385,2025-01-31T00:00:00.000,40.759098,-73.970477,success,
1312928,"RESTAURANT SERVING WINE, BEER AND CIDER",RW,NEW YORK,TRIPLE JJJ AND E LLC,JAI DEE RESTAURANT,420 7TH AVE,BROOKLYN,928995,2025-01-31T00:00:00.000,40.750467,-73.991017,success,
1337673,GROCERY STORE SELLING BEER AND WINE PRODUCT,AX,NEW YORK,VALLEY FOOD GROCERY CORP II,PORT AUTHORITY DELI,572 9TH AVE,NEW YORK,783995,2025-01-31T00:00:00.000,40.758169,-73.99281,success,
1283455,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,OP,NEW YORK,JAVELINA TEX MEX LLC,JAVELINA,119 E 18TH ST,NEW YORK,930605,2025-02-28T00:00:00.000,40.736685,-73.987468,success,
1314174,"RESTAURANT SERVING WINE, BEER AND CIDER",RW,NEW YORK,HUNTER 53 INC,TURKUAZ,310 W 53RD ST,NEW YORK,930068,2025-02-28T00:00:00.000,40.764429,-73.985369,success,
1345600,"RESTAURANT SERVING BEER, WINE AND CIDER",RW,NEW YORK,MAYAN BISTRO INC,,854 AMSTERDAM AVE,NEW YORK,831504,2025-02-28T00:00:00.000,40.797683,-73.967733,success,
1283660,"CATERING ESTABLISHMENT SERVING BEER, CIDER, WINE, AND LIQUOR",CT,NEW YORK,PIER SIXTY LLC,CURRENT,59 CHELSEA PIERS,NEW YORK,801046,2025-03-31T00:00:00.000,40.747999,-74.008496,success,
1186537,TAVERN RESTAURANT SERVING LIQUOR WINE AND BEER CIDER,OP,NEW YORK,PICANTE INC,,3424 BROADWAY,NEW YORK,801725,2025-04-30T00:00:00.000,40.822831,-73.953069,success,
1262902,RESTAURANT SERVING BEER CIDER AND WINE,RW,NEW YORK,PINE GOURMET CAFE INC,TAZ CAFE,54 PINE ST,NEW YORK,801528,2025-04-30T00:00:00.000,40.706647,-74.008476,success,
1284083,WHOLESALE LIQUOR,LL,NEW YORK,WINEBOW INC,,31 W 27TH ST,NEW YORK,780066,2025-05-31T00:00:00.000,40.744747,-73.989354,success,
1334856,"RESTAURANT SERVING BEER, WINE, AND CIDER",RW,NEW YORK,KARIBBEAN RESTAURANT CORP,,125 AVENUE D,NEW YORK,805122,2025-05-31T00:00:00.000,40.724093,-73.975749,success,
1347265,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",OP,NEW YORK,NO THING GROUP LLC,,9 JONES ST,NEW YORK,803861,2025-05-31T00:00:00.000,40.732206,-74.002006,success,
1270440,"RESTAURANT SERVING BEER, CIDER WINE & LIQUOR",OP,NEW YORK,BRECQHOU LLC,THE EAST POLE,133 E 65TH ST,NEW YORK,806198,2025-06-30T00:00:00.000,40.766113,-73.965726,success,
1307538,WHOLESALE WINE,WW,NEW YORK,QUINTESSENTIAL WINES LLC,,16 E 40TH ST,NEW YORK,795002,2025-07-31T00:00:00.000,40.751723,-73.980716,success,
1315663,"RESTAURANT SERVING BEER, WINE, LIQUOR & CIDER",OP,NEW YORK,DAI HACHI SUSHI & BAR CORP,DAI HACHI,1074 2ND AVE,NEW YORK,802496,2025-05-31T00:00:00.000,40.758968,-73.965528,success,
1352084,"BAR/TAVERN SERVING LIQUOR, WINE, BEER AND CIDER",OP,NEW YORK,GALAXY ANTIQUES LLC,ANGELINA ITALIAN BAKERY & GELATERIA KOREATOWN,6 W 32ND ST 1ST FL,NEW YORK,891487,2025-07-31T00:00:00.000,,,error,list index out of range
1189190,GROCERY STORE SELLING BEER & CIDER ONLY,A,NEW YORK,MUJIBUR RAHMAN,VILLAGE CONVENIENCE,124 2ND AVENUE,NEW YORK,794446,2025-08-31T00:00:00.000,40.728281,-73.987888,success,
